274 33403
144 224 30
88 212 68
168 25 100
15 35 14
85 20 62
261 226 64
93 42 63
59 15 8
46 259 27
225 79 86
78 70 63
265 83 77
56 220 24
103 94 79
151 114 67
172 238 2
225 120 78
202 25 56
97 104 24
58 92 24
268 30 48
213 122 82
57 24 83
81 2 76
225 48 39
204 47 91
156 22 93
145 172 63
48 246 84
232 4 7
3 131 82
142 29 76
116 18 8
204 222 38
116 256 2
178 190 82
198 247 78
181 113 50
73 194 71
156 110 24
174 240 62
228 120 91
263 264 55
229 44 18
228 41 88
219 110 85
66 76 14
222 188 39
56 242 27
7 25 23
53 75 91
155 182 52
187 103 100
69 231 34
107 223 80
245 100 94
112 162 34
203 94 44
220 29 81
253 250 3
164 26 39
25 144 2
103 22 21
163 134 1
240 32 47
60 177 27
125 253 59
258 243 24
245 208 4
235 166 74
226 34 23
245 211 58
250 45 82
83 111 97
105 260 10
211 224 80
32 261 4
82 197 11
121 246 98
87 21 83
228 196 91
98 209 80
173 6 86
26 124 39
213 274 90
26 180 36
65 200 60
265 251 98
95 206 2
102 66 14
41 106 60
105 106 72
253 82 78
140 183 53
161 22 81
75 139 54
228 162 98
96 267 90
19 173 33
114 150 73
258 5 40
45 59 63
43 192 90
48 201 33
270 88 51
84 230 60
160 117 75
11 143 50
238 85 88
62 143 41
163 68 83
163 72 34
114 181 22
216 75 28
236 259 89
213 77 67
71 204 89
241 239 35
114 48 92
19 72 71
112 182 58
100 57 56
233 237 17
28 55 25
219 59 37
218 17 16
227 239 5
208 4 42
161 27 11
63 224 13
245 150 27
100 260 68
139 114 97
85 273 55
174 110 100
266 26 93
53 71 60
110 213 68
7 83 9
86 36 92
221 145 67
8 222 35
105 102 94
227 88 80
118 223 67
120 249 35
85 18 56
48 30 62
9 43 50
18 3 29
5 101 66
45 63 17
136 89 10
140 251 56
216 274 43
176 266 59
231 253 71
251 70 58
240 39 27
74 24 97
108 231 66
228 144 74
153 170 81
231 55 85
51 135 36
81 174 64
181 135 5
8 32 71
109 130 74
70 94 1
115 259 78
22 107 67
168 127 54
117 140 100
92 219 41
62 104 62
242 18 43
38 136 57
122 134 83
18 54 52
156 207 45
216 144 20
157 169 95
54 137 60
233 39 39
86 50 24
245 192 12
261 144 72
109 79 49
208 44 25
162 182 6
49 22 67
54 2 12
120 1 78
262 196 47
137 68 37
248 154 4
219 262 55
193 197 17
134 187 82
1 12 17
106 225 71
250 122 21
97 231 42
247 222 77
227 189 90
112 96 30
102 265 71
136 247 29
57 165 49
262 4 74
213 51 32
70 69 57
27 226 25
233 30 88
134 46 13
8 126 85
208 154 1
38 56 31
270 207 66
90 217 90
20 270 7
233 137 58
76 93 57
34 263 97
269 245 93
221 265 81
102 242 35
251 202 26
5 257 64
232 32 4
184 87 31
98 12 16
118 123 45
130 260 18
216 188 53
3 2 43
203 256 31
220 203 19
175 132 20
157 106 70
7 148 60
109 32 73
231 52 2
172 42 22
140 229 8
16 252 71
265 53 3
208 183 23
87 146 55
246 55 84
125 206 45
127 77 94
193 30 41
101 167 55
142 134 22
166 127 64
146 208 83
125 218 15
187 89 99
10 250 45
165 129 11
113 60 22
80 1 40
40 198 27
251 44 92
34 191 89
56 262 41
118 139 12
257 163 100
204 97 30
101 149 75
83 159 13
191 258 67
202 154 32
107 96 30
260 207 89
172 171 73
65 7 34
257 96 82
241 140 94
94 256 49
64 131 27
243 185 83
260 48 79
213 10 39
78 116 62
125 152 71
178 128 57
108 85 71
195 193 54
126 172 17
272 214 18
29 164 88
207 170 87
68 196 87
215 200 75
171 71 36
90 232 62
167 193 80
106 38 93
196 90 81
34 187 2
201 223 90
15 83 35
216 161 40
219 6 43
197 176 25
176 35 26
153 112 71
188 79 52
23 236 19
51 87 5
23 197 72
217 252 60
108 195 58
25 86 43
141 58 24
113 76 65
231 6 66
207 84 90
1 220 11
3 197 8
24 189 46
19 110 53
103 26 38
80 172 71
64 31 68
169 82 48
234 268 69
101 164 5
221 18 85
119 194 42
171 263 5
117 81 2
230 51 69
250 165 12
262 273 79
61 9 71
144 243 94
172 91 12
77 200 99
82 62 61
80 162 37
111 61 61
75 108 81
86 189 55
232 80 18
28 26 34
62 6 70
156 269 41
272 225 57
109 27 37
124 5 49
4 83 34
211 231 13
242 11 37
95 244 78
124 9 7
140 184 65
96 67 69
160 188 71
157 132 26
103 99 1
187 121 30
140 232 14
224 229 88
8 112 71
82 192 51
152 115 14
29 113 90
189 90 81
170 230 44
239 78 65
65 22 84
64 172 80
106 38 66
145 53 54
35 11 56
94 187 45
209 258 81
27 156 55
4 176 62
63 244 12
264 45 70
37 188 26
118 121 57
239 132 83
101 93 10
61 62 72
194 28 13
94 136 16
59 104 55
184 247 89
250 19 77
243 271 18
44 85 46
196 179 30
77 130 39
57 15 40
1 269 29
117 236 99
48 244 13
135 128 38
167 237 70
187 184 53
197 266 39
151 139 8
94 100 55
100 28 100
227 89 51
92 211 61
47 114 64
61 34 40
18 9 85
12 7 85
160 53 98
93 179 13
4 218 43
209 105 55
7 200 94
249 189 60
270 273 34
218 204 8
268 189 29
239 179 28
55 183 46
247 261 87
175 32 93
186 8 82
228 61 95
19 89 76
191 69 17
132 11 19
107 243 97
104 175 14
101 15 17
265 130 95
95 139 65
85 111 6
2 106 65
210 227 22
228 96 69
136 138 89
45 29 78
154 184 93
180 12 28
203 129 86
95 74 28
115 34 8
92 196 70
107 171 65
24 230 54
108 113 30
5 211 39
244 167 18
256 266 40
113 257 56
75 174 33
267 251 36
6 224 56
242 31 14
90 59 16
25 129 95
176 131 88
255 5 86
44 75 69
56 216 33
273 168 61
125 210 31
56 212 94
87 87 42
16 24 95
59 116 86
4 68 40
121 233 22
201 267 32
48 262 66
156 176 97
105 131 75
11 20 97
121 177 37
63 66 84
79 182 53
195 184 45
211 237 77
2 261 18
123 30 41
203 215 72
66 19 69
222 229 75
66 269 58
102 154 39
152 170 13
77 179 22
151 215 70
221 232 45
78 112 40
32 230 96
51 256 17
31 96 63
102 54 48
220 43 78
223 27 70
82 143 14
82 20 86
126 5 77
117 8 55
52 100 53
110 9 51
224 74 58
11 42 98
62 71 9
149 185 90
260 25 43
106 231 64
52 7 33
158 66 78
100 265 25
244 33 25
158 187 76
264 192 91
198 223 82
167 182 84
184 81 89
102 108 49
222 173 57
137 52 93
139 25 93
198 42 17
258 179 92
43 30 96
80 13 31
173 36 11
184 32 97
161 64 100
242 42 53
126 31 7
86 258 93
176 190 56
272 224 14
21 193 19
122 184 65
159 67 93
271 184 99
208 62 13
53 23 10
220 32 41
267 245 34
28 244 21
266 36 31
169 203 38
43 60 64
132 172 73
104 58 44
56 205 82
10 155 74
29 269 60
191 37 21
54 231 70
54 44 67
196 256 12
97 76 72
88 165 33
232 24 88
114 78 64
274 2 88
174 121 91
136 58 77
68 218 69
258 168 78
251 253 26
31 68 74
249 199 87
155 20 65
115 148 11
148 263 72
164 14 19
131 86 89
173 240 36
228 116 81
70 132 2
139 65 67
58 82 69
39 254 53
50 218 65
264 149 51
89 118 57
92 182 76
171 255 7
206 174 38
238 95 3
21 161 68
172 206 18
246 94 91
74 34 29
115 228 75
5 136 59
114 130 73
201 19 27
210 87 49
192 33 48
156 187 98
5 12 71
195 213 38
143 156 83
134 51 94
274 176 61
121 36 91
75 174 43
274 105 91
266 157 66
189 274 54
78 120 1
146 266 55
66 159 25
34 32 55
256 178 5
141 225 5
122 45 48
45 33 56
20 72 54
166 245 25
256 147 7
180 22 64
85 160 88
154 164 19
214 226 54
108 67 48
224 263 63
263 178 73
126 91 9
234 26 66
254 123 47
227 196 87
260 62 1
227 247 29
110 236 15
215 5 11
200 167 34
54 274 93
185 220 91
39 95 34
186 124 86
104 206 48
81 84 37
274 88 74
77 274 35
115 247 49
87 118 98
134 204 49
120 5 67
234 60 97
190 212 13
156 95 84
56 78 19
57 42 86
136 248 67
268 124 59
119 26 82
241 233 41
128 269 54
258 41 61
157 233 56
237 92 88
205 118 71
59 150 59
14 18 60
187 248 17
198 263 30
181 14 2
59 38 46
7 155 42
157 142 53
102 161 13
231 178 56
83 115 12
135 159 44
203 144 28
129 4 45
252 47 12
268 178 7
54 81 94
49 34 59
133 117 92
114 163 75
262 34 49
22 29 62
258 189 99
111 96 66
111 221 23
161 47 25
39 214 45
85 175 86
22 130 67
111 28 45
117 229 42
14 25 13
125 193 33
85 1 63
4 186 87
46 204 62
262 72 42
121 153 61
86 59 1
123 18 22
154 258 92
133 136 4
161 34 37
211 25 32
54 96 41
151 248 89
114 168 20
13 168 26
50 149 66
193 11 43
237 65 20
122 49 74
30 72 70
147 39 12
53 101 34
153 188 24
154 182 67
46 197 26
50 99 26
53 86 92
262 118 49
244 106 98
33 263 21
8 50 62
249 221 1
65 87 62
82 234 41
77 234 13
206 252 63
273 65 68
157 143 34
124 243 14
174 94 79
186 271 27
190 158 68
192 272 58
17 224 33
67 110 23
235 27 16
262 147 9
169 68 28
177 259 35
148 242 39
132 37 56
121 125 61
41 273 65
228 126 20
149 6 36
157 81 83
91 227 37
91 22 69
5 150 52
154 19 85
94 127 33
16 133 16
146 218 73
154 207 63
156 83 77
44 85 99
31 179 72
265 213 53
10 51 38
8 13 70
169 155 77
39 63 23
168 38 60
62 182 96
262 274 22
16 181 12
237 236 49
253 22 40
8 264 5
36 234 16
8 133 27
106 5 57
30 217 14
217 139 20
239 185 6
134 226 21
69 53 31
3 135 8
50 182 42
178 229 9
224 167 54
152 107 45
187 82 50
240 99 20
258 95 89
75 148 27
174 201 1
148 183 92
161 182 67
259 17 96
250 174 63
134 144 37
189 54 82
26 250 78
144 58 76
195 187 30
134 41 35
38 24 42
32 193 65
172 1 33
69 1 58
47 248 74
130 142 12
179 76 35
223 227 47
117 246 77
237 12 34
249 246 59
16 213 97
137 133 48
173 49 34
97 27 59
74 142 33
57 63 23
106 254 67
269 33 52
132 222 85
83 231 41
91 51 61
148 42 37
145 85 42
131 86 93
47 75 24
127 140 62
20 231 34
87 104 5
113 85 14
175 134 94
255 224 23
144 56 79
184 153 83
146 246 35
35 135 72
11 171 22
209 264 85
239 19 77
262 125 5
14 271 79
67 55 73
104 191 65
60 136 50
80 7 20
47 221 68
268 95 18
265 164 2
123 200 5
38 110 90
246 78 5
137 131 98
263 169 93
205 78 53
270 214 30
178 50 12
111 150 6
91 4 84
2 197 70
20 130 98
185 36 76
125 152 50
114 152 59
227 251 20
10 49 72
170 29 33
148 52 49
6 214 15
125 30 84
137 208 79
210 165 38
158 227 46
5 235 98
204 189 32
36 16 29
134 110 1
239 98 81
244 273 8
171 223 67
214 97 86
173 201 98
223 169 47
236 103 62
224 220 92
1 38 47
98 191 46
124 258 18
201 273 47
52 70 88
141 60 96
256 14 53
191 173 96
134 256 100
12 38 32
52 87 81
102 81 71
42 247 87
222 68 5
235 23 12
111 274 14
272 100 60
173 188 60
206 76 59
61 61 40
83 227 33
18 241 6
89 47 76
247 189 24
47 214 29
234 174 18
245 263 1
184 272 18
150 94 34
183 85 48
29 25 12
91 39 59
2 90 71
175 87 74
229 64 97
74 274 53
197 64 48
63 19 98
98 171 34
55 208 16
136 182 95
143 12 13
181 113 29
245 46 36
217 90 58
248 207 2
239 47 27
115 267 26
125 185 58
94 263 3
169 16 23
85 73 69
95 207 6
29 48 7
21 10 61
159 243 85
97 140 34
198 234 3
259 162 33
242 133 81
225 102 5
92 12 95
206 142 7
67 228 19
112 6 77
65 135 80
49 8 12
116 168 83
260 96 52
97 57 16
153 137 1
266 127 72
238 178 87
236 39 8
124 183 23
100 173 50
193 82 31
89 219 17
23 174 95
198 247 68
77 165 59
157 123 81
70 90 35
209 257 57
108 255 96
262 121 8
57 114 41
145 182 13
171 121 42
202 170 99
187 94 23
43 254 98
203 29 91
177 229 71
237 92 98
63 81 19
16 201 50
220 107 73
71 25 23
175 201 4
237 51 26
154 133 93
261 154 79
126 133 42
181 96 38
269 138 78
89 245 67
181 212 27
131 265 52
87 227 29
257 68 52
116 135 53
99 171 49
69 11 40
91 12 79
100 31 46
206 272 71
77 260 60
194 83 35
15 168 32
112 43 71
197 93 12
202 1 78
29 259 40
218 202 28
174 254 17
186 111 34
185 206 5
182 71 80
264 7 99
165 153 73
188 232 62
76 156 48
147 174 94
131 22 20
163 133 64
136 130 58
5 236 13
104 73 39
210 271 93
200 39 19
128 78 70
225 210 61
41 1 88
273 184 26
86 16 59
172 256 22
62 68 83
204 115 23
92 64 71
192 121 32
260 79 93
162 255 15
85 68 56
20 103 26
232 30 20
259 140 80
243 2 56
89 105 30
61 28 47
43 85 1
34 233 73
14 159 19
266 153 7
7 235 92
196 102 70
166 78 75
7 77 68
242 11 26
241 103 43
233 108 78
32 168 85
37 204 58
163 131 56
229 145 54
52 120 76
44 50 56
72 244 58
127 257 12
28 138 27
261 111 73
48 68 2
116 209 84
19 46 78
190 246 76
248 118 78
57 225 41
101 93 34
260 221 31
165 162 32
28 82 35
174 171 78
30 14 51
136 150 16
2 240 69
174 115 76
5 182 21
147 189 25
270 8 33
127 114 82
209 208 62
78 62 68
36 172 30
17 92 19
271 264 48
76 208 96
231 240 64
149 35 12
228 78 53
215 34 90
26 101 83
17 273 87
104 219 59
62 219 67
128 163 74
271 237 61
238 142 25
247 108 63
47 87 77
155 187 50
124 68 58
47 63 45
7 268 97
253 141 57
149 204 80
240 180 83
218 261 46
236 26 13
211 198 18
178 110 16
154 144 41
192 160 64
247 218 93
244 19 54
31 202 60
226 263 87
115 188 92
25 80 77
177 87 87
240 36 89
234 215 99
105 114 46
199 39 80
237 49 79
78 269 46
84 30 33
212 20 86
206 92 43
135 145 46
76 247 61
100 57 42
57 194 20
245 159 95
41 256 12
126 67 27
61 32 10
243 206 38
64 89 66
78 88 86
208 168 6
127 5 65
231 210 85
174 267 84
13 221 29
193 13 57
109 99 11
70 130 79
34 178 28
60 191 24
163 192 80
48 48 82
266 183 27
242 49 52
87 11 86
136 205 2
201 176 31
146 161 59
176 20 53
162 242 69
246 21 24
222 36 27
1 38 66
81 11 21
203 95 67
212 221 31
25 145 72
196 79 1
39 28 83
68 193 91
257 209 93
75 179 46
193 144 91
78 65 61
254 239 31
172 109 77
20 231 88
169 128 61
127 170 78
154 100 83
264 78 23
216 232 27
259 227 99
80 146 46
236 186 6
7 179 11
18 253 38
74 235 90
218 248 82
129 152 8
222 50 69
92 201 7
120 192 28
129 68 32
11 38 38
4 93 85
35 17 100
170 11 51
96 79 13
59 138 100
101 241 93
203 203 38
260 55 29
31 64 94
48 89 11
188 266 30
139 178 35
36 44 1
65 214 14
34 137 89
36 217 100
200 89 86
230 247 36
162 79 77
239 156 89
110 131 39
80 123 69
8 132 47
179 3 7
17 96 75
76 171 85
65 81 99
56 165 4
38 242 43
27 274 42
269 236 29
145 99 4
38 224 87
165 68 35
168 129 57
68 196 80
205 18 64
243 113 76
254 239 91
221 33 77
21 34 49
140 13 27
149 239 56
202 76 3
174 123 36
33 185 11
259 81 65
123 183 92
68 239 77
86 235 39
83 181 78
191 122 15
233 183 84
134 271 21
75 60 42
200 250 25
170 20 31
238 168 69
121 32 58
54 138 6
132 59 94
22 14 83
22 73 98
4 140 100
268 267 27
21 8 32
151 50 47
195 262 4
58 147 36
46 160 36
112 54 97
174 8 73
269 210 12
265 69 72
269 247 43
219 38 54
219 58 93
201 22 39
68 71 54
13 16 6
141 136 35
184 182 48
68 20 18
260 170 71
251 159 73
157 237 95
49 29 15
195 69 66
9 130 18
207 273 75
85 10 71
38 89 40
105 266 68
69 86 27
40 223 55
217 200 26
168 141 56
45 25 99
131 201 39
13 274 1
238 182 57
267 5 69
168 250 50
151 24 26
158 221 98
22 71 91
38 134 23
228 137 100
109 218 85
119 144 89
3 199 26
197 229 94
71 241 82
66 42 59
164 260 81
84 32 100
116 13 31
39 157 49
270 244 62
113 25 40
143 270 78
111 180 22
201 138 12
104 87 61
217 166 44
165 155 46
272 210 60
271 110 91
16 192 39
267 9 19
75 158 47
145 73 8
25 162 30
41 242 98
225 135 13
181 130 47
45 73 8
180 29 79
3 266 17
162 117 2
43 151 87
6 176 82
75 244 62
24 22 17
98 250 26
26 248 11
260 51 8
127 149 30
34 244 46
186 204 39
219 50 83
227 151 26
176 60 32
54 3 41
54 86 83
70 215 38
55 147 98
213 89 72
186 21 46
245 257 34
176 110 23
19 55 90
182 240 38
236 5 80
169 177 64
226 77 76
262 140 27
181 59 16
213 261 89
165 99 71
64 43 35
106 122 75
204 271 76
111 116 31
252 62 46
32 258 34
228 171 24
257 121 57
203 156 25
247 165 77
87 206 5
156 94 15
260 140 54
260 264 5
139 161 86
105 52 7
237 142 39
78 180 97
174 105 71
149 120 1
132 103 19
104 272 3
72 74 41
257 243 18
219 174 68
246 256 61
193 37 95
60 10 51
94 222 34
115 158 50
101 129 70
251 209 14
18 204 14
152 247 55
258 171 59
269 217 10
231 34 75
113 161 74
172 131 12
108 165 61
230 101 53
131 161 46
226 7 97
184 243 23
220 122 92
204 198 63
200 241 96
133 135 73
86 17 28
215 89 84
126 261 39
253 246 88
148 46 93
199 180 46
37 96 37
254 138 56
23 106 89
27 153 80
40 101 58
231 149 99
161 92 23
57 234 36
13 167 31
79 97 1
114 89 79
268 162 63
245 151 77
170 112 23
55 67 47
141 118 40
64 86 45
98 217 63
212 204 41
121 129 93
225 30 73
203 223 69
264 245 87
101 66 22
84 184 98
147 206 71
265 212 22
10 159 31
49 172 41
178 231 50
221 127 54
218 73 48
58 126 6
83 114 31
145 202 73
83 129 52
26 227 58
25 28 24
138 32 54
79 272 30
16 200 67
186 257 36
222 266 80
43 96 42
73 234 70
138 20 68
154 145 72
103 250 32
131 257 92
175 37 15
25 44 19
61 11 56
166 107 18
113 82 19
131 168 36
105 101 74
253 39 42
68 141 45
25 104 81
145 185 88
173 56 82
143 91 99
27 211 68
171 48 97
53 171 92
103 90 57
172 101 84
149 72 13
112 271 26
122 159 21
41 18 28
188 265 61
106 56 87
203 9 35
70 16 59
265 230 84
74 58 41
240 250 39
262 117 96
94 35 58
254 99 4
27 79 16
48 90 49
126 83 1
65 6 16
112 133 70
60 241 11
28 166 45
14 174 67
6 24 15
266 22 25
94 85 93
218 175 65
15 156 11
65 16 33
178 271 51
139 228 20
52 70 16
19 182 10
67 163 19
32 87 30
185 207 87
120 274 55
68 161 55
257 215 18
170 252 57
148 8 78
20 157 6
125 77 63
241 58 90
121 68 13
260 214 95
239 217 50
29 71 7
232 134 13
95 202 75
184 214 50
154 166 45
139 115 57
20 244 69
19 247 87
259 248 80
261 104 66
198 274 37
271 133 63
114 249 86
197 109 63
20 206 72
200 27 34
118 104 9
57 136 63
3 202 43
152 236 36
11 151 42
26 52 48
157 137 15
47 165 1
95 272 8
256 172 95
253 132 75
138 86 35
260 157 3
85 60 50
243 177 54
209 221 78
32 273 77
46 151 53
28 232 47
233 272 100
262 238 30
193 240 60
51 160 46
80 185 3
106 41 86
112 72 68
91 246 65
18 76 44
24 168 87
10 259 73
200 40 55
98 159 57
142 115 44
64 58 11
6 61 48
112 71 42
25 175 34
246 4 100
22 53 74
240 269 91
234 2 38
89 184 21
210 96 75
8 201 30
1 205 54
247 8 11
184 143 19
103 102 87
239 46 55
125 84 64
247 263 71
6 166 83
106 110 39
161 47 82
41 245 46
269 18 94
170 201 87
203 105 91
271 169 40
113 262 75
231 28 39
101 150 87
272 134 5
233 11 62
89 57 9
147 126 14
127 110 83
196 38 44
13 2 11
69 208 5
261 113 6
270 174 65
33 119 8
230 189 91
59 54 51
165 212 11
11 62 85
50 187 7
271 12 75
60 177 57
55 52 20
175 233 70
85 75 21
103 92 11
36 240 81
166 199 22
234 75 43
42 215 60
105 24 84
221 88 16
144 268 46
210 65 57
193 258 62
131 90 36
124 252 20
49 122 4
64 145 36
221 264 57
88 182 47
63 33 39
67 168 40
168 44 69
99 24 18
209 16 75
238 248 58
13 77 3
137 22 93
86 230 15
94 226 27
210 227 92
142 237 77
259 160 54
170 168 59
131 96 14
86 215 93
124 244 27
261 84 24
58 4 19
97 215 81
88 32 47
90 226 20
77 28 49
91 76 20
47 223 21
64 4 4
111 252 94
78 178 46
239 200 20
133 30 68
31 93 78
35 235 28
125 162 87
76 253 27
19 18 71
82 177 90
57 259 60
237 98 3
205 142 4
224 189 52
55 255 5
253 139 43
242 70 25
31 33 17
38 251 19
254 93 39
221 238 2
176 152 34
139 42 44
248 6 100
87 67 59
253 265 6
264 207 49
266 233 89
243 185 19
63 167 16
68 106 99
66 262 73
224 224 40
229 189 23
213 56 66
230 166 30
164 248 10
121 178 34
59 204 83
233 151 98
93 112 95
190 142 71
240 213 36
214 137 9
214 54 38
153 98 89
117 119 78
169 155 22
64 109 70
119 39 91
92 97 83
4 105 37
20 96 93
10 183 76
153 61 6
33 252 68
75 182 29
167 157 36
246 153 42
253 119 57
53 233 47
214 33 80
91 12 25
65 35 73
169 4 94
125 31 66
246 168 73
201 60 86
227 177 78
104 93 58
86 101 83
205 233 42
53 270 100
192 157 44
67 163 77
47 42 14
62 210 37
138 12 94
86 253 34
270 232 16
202 163 72
139 142 96
273 170 87
237 33 77
42 175 3
10 125 75
202 42 20
120 59 50
120 124 93
11 160 90
21 158 55
134 213 69
106 38 12
104 113 8
30 228 57
63 172 3
92 56 17
130 227 23
267 230 29
240 75 48
59 9 57
20 23 47
172 1 85
63 247 79
58 142 20
66 255 66
142 126 96
23 246 71
113 107 89
57 46 38
137 151 64
79 194 37
148 241 73
157 21 100
249 112 26
91 14 91
158 14 8
200 76 4
148 59 26
262 236 60
233 124 55
67 231 57
265 239 64
177 169 85
196 144 45
207 247 15
157 3 91
80 195 24
150 257 11
223 100 14
68 105 100
135 70 40
2 177 18
171 237 69
9 115 7
73 258 20
69 161 98
173 38 59
129 110 96
121 61 44
237 193 10
7 151 13
266 76 33
174 242 60
15 263 66
175 185 73
64 54 6
51 167 58
197 219 41
63 36 54
45 122 1
243 153 75
262 108 91
228 116 64
112 234 56
245 61 5
10 197 76
240 12 37
193 7 88
166 261 56
78 187 49
268 197 96
207 195 67
184 100 29
129 201 91
252 80 9
29 40 41
135 147 43
157 78 46
53 159 17
102 127 91
20 162 72
3 118 69
250 192 68
68 6 64
232 54 86
79 229 11
193 2 25
64 71 83
15 47 4
154 270 56
169 130 41
271 239 81
251 39 3
178 137 21
2 5 39
206 43 7
209 59 13
239 72 52
76 257 62
102 194 76
171 20 83
269 51 83
238 189 60
8 246 97
273 95 61
146 231 59
176 119 74
266 196 8
232 268 14
245 41 20
162 133 40
17 119 45
186 101 45
177 272 28
267 194 98
215 87 86
122 124 48
93 163 13
208 165 31
199 180 98
186 18 27
44 54 66
45 46 98
189 253 5
62 102 39
15 76 37
37 157 14
85 159 7
145 93 96
208 64 12
128 35 99
222 21 78
248 196 48
146 128 2
206 37 34
97 107 67
256 78 94
41 164 29
71 159 56
137 63 63
41 246 98
154 129 85
197 89 26
28 255 71
15 186 57
126 242 4
256 97 55
109 130 22
108 98 68
195 2 14
268 67 39
235 62 39
127 201 76
49 136 11
259 255 7
30 57 10
129 266 17
207 199 71
222 188 26
137 32 57
140 77 95
134 100 90
261 107 11
161 88 86
24 21 93
238 14 4
143 96 86
41 8 76
72 57 97
251 252 35
231 19 35
239 218 91
194 82 55
43 43 7
14 52 45
59 201 33
188 49 85
93 134 78
29 110 48
54 217 97
1 52 34
36 258 31
253 39 34
90 168 41
30 104 75
256 180 84
221 196 79
112 251 99
5 209 55
37 38 31
156 155 46
193 150 48
97 71 58
188 190 5
176 198 78
1 233 22
77 25 84
42 42 59
3 16 49
157 67 34
112 74 81
129 55 68
58 239 44
122 139 80
86 239 36
32 13 31
115 225 72
59 221 74
202 17 85
228 136 44
153 85 64
18 42 99
4 36 96
165 261 25
206 146 99
97 65 93
60 141 59
211 145 3
46 140 35
136 63 73
132 259 74
126 21 65
161 73 15
9 120 78
42 69 9
1 41 69
60 271 69
28 118 43
138 6 82
162 233 13
76 174 63
33 123 69
143 155 8
75 153 40
165 162 35
189 174 45
14 74 59
190 18 9
189 271 84
30 200 22
180 236 21
91 183 64
52 146 83
111 6 83
191 144 28
257 128 59
216 195 27
28 246 62
236 112 10
78 8 78
76 148 57
224 251 32
4 175 50
106 165 94
105 23 11
256 42 35
31 150 88
205 87 86
204 238 39
180 174 36
126 77 47
167 37 84
42 20 34
4 230 91
59 148 80
173 259 23
13 78 10
168 233 71
246 133 98
52 2 34
237 32 92
52 175 19
56 229 37
228 178 16
14 266 2
269 74 37
109 233 68
163 111 72
49 1 8
184 164 97
165 237 54
246 165 8
147 242 8
96 200 43
167 27 26
233 16 12
244 206 48
163 116 52
144 50 10
229 250 48
21 22 60
52 60 87
35 52 94
137 239 67
123 170 8
122 59 21
54 259 10
190 70 45
39 5 31
207 161 5
248 15 26
35 48 4
107 177 80
145 240 90
56 1 20
271 269 74
56 158 72
235 258 47
145 27 50
18 57 14
225 206 8
84 197 34
29 172 60
132 261 16
36 7 9
4 118 2
52 140 4
54 80 57
56 67 14
254 213 77
99 90 68
182 34 8
185 107 28
258 30 48
50 124 5
266 116 61
107 207 64
193 98 5
237 30 94
10 60 27
20 254 9
226 27 96
5 8 75
84 89 25
69 237 32
195 153 42
156 136 71
83 26 33
240 144 97
235 182 62
171 12 98
245 95 36
169 211 91
268 229 52
136 267 44
87 183 52
74 249 95
184 257 10
33 7 14
173 56 71
228 43 91
113 207 9
242 251 39
227 108 36
154 56 56
250 124 4
215 128 22
157 118 8
262 162 55
175 113 63
31 183 68
244 79 75
229 46 40
229 221 92
19 4 41
142 147 43
229 83 73
128 4 65
32 110 2
191 136 12
30 9 1
43 240 37
129 41 6
232 61 34
237 134 59
274 248 15
223 197 34
100 13 19
198 143 58
246 210 27
192 80 13
209 227 72
123 202 73
9 175 29
233 159 100
49 140 33
99 41 11
173 44 7
271 272 46
191 224 55
35 241 99
66 151 3
195 166 80
190 219 58
105 253 45
43 197 4
50 259 43
116 209 48
93 254 26
72 257 95
200 39 1
258 109 89
193 261 61
65 214 86
268 123 53
200 138 75
173 212 50
63 183 72
101 4 65
161 128 81
10 183 10
233 64 84
22 145 21
131 231 19
39 19 19
89 201 100
80 250 18
109 80 55
24 84 14
97 37 72
89 36 9
158 112 26
77 60 54
5 138 8
191 234 25
262 42 33
187 67 91
74 67 76
156 247 35
136 12 67
86 35 88
245 274 89
54 239 35
176 133 99
241 163 40
255 157 25
33 139 86
159 263 37
217 39 75
235 20 51
156 41 23
218 212 21
102 164 48
157 231 74
142 24 22
130 230 75
156 184 94
157 195 99
145 7 64
166 135 83
145 267 4
136 238 12
221 194 2
236 251 49
156 226 16
230 166 18
233 125 40
166 130 82
236 51 39
117 264 21
250 192 27
19 192 67
35 151 89
34 133 83
270 184 86
228 146 34
113 73 55
115 122 35
211 2 78
83 173 3
158 148 11
271 7 95
191 97 34
176 36 53
238 57 55
241 233 89
258 231 88
25 27 14
157 248 97
266 124 21
104 55 89
158 144 51
75 253 41
50 119 42
156 132 15
18 34 28
258 105 44
188 44 18
161 63 45
2 261 11
240 19 63
1 237 79
166 134 92
194 154 62
138 74 99
59 236 60
234 270 76
219 53 74
79 260 41
3 97 28
237 274 29
165 18 30
121 96 5
31 175 65
95 216 71
7 45 77
120 117 35
144 42 24
108 220 26
31 210 15
270 153 96
24 220 43
205 172 90
78 191 21
190 198 5
84 84 75
273 45 94
254 31 7
34 214 74
138 23 8
63 78 100
101 231 82
5 120 29
84 193 93
195 153 33
54 198 99
105 53 22
161 47 89
65 214 6
232 67 27
235 11 54
149 130 51
127 125 71
68 24 48
166 55 9
222 221 37
208 44 49
236 273 15
167 3 13
266 159 67
49 261 33
153 245 66
11 21 100
51 220 57
4 67 75
50 219 12
147 273 93
130 149 54
212 106 84
61 237 38
178 156 6
152 233 39
107 250 77
38 258 81
113 19 53
214 171 36
110 34 12
52 269 2
80 20 65
